"id","question","sparql"
"0","How many creators were involved in the publication of Systems of Logic Based on Ordinals.?","SELECT (COUNT(?creator) AS ?count) WHERE { <https://dblp.org/rec/phd/Turing38> <https://dblp.org/rdf/schema#numberOfCreators> ?creator }"
"1","Was Systems of Logic Based on Ordinals. accepted by a school for a thesis?","ASK WHERE { <https://dblp.org/rec/phd/Turing38> <https://dblp.org/rdf/schema#thesisAcceptedBySchool> ?accepted. <https://dblp.org/rec/phd/Turing38> ?thesis ?school. }"
"2","What is the primary electronic edition of Systems of Logic Based on Ordinals.?","SELECT ?edition WHERE { <https://dblp.org/rec/phd/Turing38> <https://dblp.org/rdf/schema#primaryElectronicEdition> ?edition . }"
"3","When was Systems of Logic Based on Ordinals. published?","SELECT ?year WHERE { <https://dblp.org/rec/phd/Turing38> <https://dblp.org/rdf/schema#yearOfPublication> ?year . }"
"4","Are there any electronic editions other than the primary one for Systems of Logic Based on Ordinals.?","ASK WHERE { <https://dblp.org/rec/phd/Turing38> <https://dblp.org/rdf/schema#otherElectronicEdition> ?edition .}"
"5","What is the bibliography type of Cooperative Situation Awareness in Transportation.?","SELECT ?bibtexType WHERE { <https://dblp.org/rec/phd/at/Rockl2010> <https://dblp.org/rdf/schema#bibtexType> ?bibtexType . }"
"6","Who is the author of Cooperative Situation Awareness in Transportation.?","SELECT ?author WHERE { <https://dblp.org/rec/phd/at/Rockl2010> <https://dblp.org/rdf/schema#authoredBy> ?author }"
"7","Does Cooperative Situation Awareness in Transportation. have an ISBN?","ASK WHERE {
  <https://dblp.org/rec/phd/at/Rockl2010> <https://dblp.org/rdf/schema#isbn> ?isbn
}"
"8","How many creators were involved in Cooperative Situation Awareness in Transportation.?","SELECT (COUNT(DISTINCT ?creator) AS ?countCreators) WHERE { <https://dblp.org/rec/phd/at/Rockl2010> <https://dblp.org/rdf/schema#numberOfCreators> ?creator . }"
"9","In which year was Cooperative Situation Awareness in Transportation. published?","SELECT ?year WHERE { <https://dblp.org/rec/phd/at/Rockl2010> <https://dblp.org/rdf/schema#yearOfPublication> ?year .}"
"10","What is the bibtex Type of 'Spekulative Optimierungen in interpretativen virtuellen Maschinen.'?","SELECT ?bibtexType WHERE { <https://dblp.org/rec/phd/dnb/Adler12> <https://dblp.org/rdf/schema#bibtexType> ?bibtexType . }"
"11","Was 'Spekulative Optimierungen in interpretativen virtuellen Maschinen.' authored by?","ASK WHERE { <https://dblp.org/rec/phd/dnb/Adler12> <https://dblp.org/rdf/schema#authoredBy> ?author .}"
"12","Is there an isbn for 'Spekulative Optimierungen in interpretativen virtuellen Maschinen.'?","ASK WHERE { <https://dblp.org/rec/phd/dnb/Adler12> <https://dblp.org/rdf/schema#isbn> ?isbn . }"
"13","How many creators contributed to 'Spekulative Optimierungen in interpretativen virtuellen Maschinen.'?","SELECT (COUNT(?creator) as ?numberOfCreators) WHERE { <https://dblp.org/rec/phd/dnb/Adler12> <https://dblp.org/rdf/schema#numberOfCreators> ?creator . }"
"14","When was 'Spekulative Optimierungen in interpretativen virtuellen Maschinen.' published?","SELECT ?date
WHERE { <https://dblp.org/rec/phd/dnb/Adler12> <https://dblp.org/rdf/schema#yearOfPublication> ?date . }"
"15","What is the bibtex Type of Cluster abstraction of graph transformation systems.?","SELECT ?type WHERE { <https://dblp.org/rec/phd/dnb/Backes15> <https://dblp.org/rdf/schema#bibtexType> ?type .}"
"16","Who authored Cluster abstraction of graph transformation systems.?","SELECT ?author WHERE { <https://dblp.org/rec/phd/dnb/Backes15> <https://dblp.org/rdf/schema#authoredBy> ?author . }"
"17","How many creators were involved in Cluster abstraction of graph transformation systems.?","SELECT (COUNT(?creator) as ?numCreators) WHERE { <https://dblp.org/rec/phd/dnb/Backes15> <https://dblp.org/rdf/schema#numberOfCreators> ?creator . }"
"18","Does Cluster abstraction of graph transformation systems. have any other Electronic Edition?","ASK { <https://dblp.org/rec/phd/dnb/Backes15> <https://dblp.org/rdf/schema#otherElectronicEdition> ?x }"
"19","When was Cluster abstraction of graph transformation systems. published?","SELECT ?year WHERE { <https://dblp.org/rec/phd/dnb/Backes15> <https://dblp.org/rdf/schema#yearOfPublication> ?year . }"
"20","What is the bibtex Type of 'New Data Based Matching Strategies for Visual Motion Estimation.'?","SELECT ?bibtexType WHERE { <https://dblp.org/rec/phd/dnb/Bailer20> <https://dblp.org/rdf/schema#bibtexType> ?bibtexType . }"
"21","Who is the author of 'New Data Based Matching Strategies for Visual Motion Estimation.'?","SELECT ?author WHERE { <https://dblp.org/rec/phd/dnb/Bailer20> <https://dblp.org/rdf/schema#authoredBy> ?author . }"
"22","Does 'New Data Based Matching Strategies for Visual Motion Estimation.' have any ISBN?","ASK { <https://dblp.org/rec/phd/dnb/Bailer20> <https://dblp.org/rdf/schema#isbn> ?o . }"
"23","Is the pagination information available for 'New Data Based Matching Strategies for Visual Motion Estimation.'?","ASK WHERE { <https://dblp.org/rec/phd/dnb/Bailer20> <https://dblp.org/rdf/schema#pagination> ?pagination .  FILTER(STRLEN(?pagination) > 0) }"
"24","In which year was 'New Data Based Matching Strategies for Visual Motion Estimation.' published?","SELECT ?year 
WHERE { 
<https://dblp.org/rec/phd/dnb/Bailer20> <https://dblp.org/rdf/schema#yearOfPublication> ?year. 
}"
"25","What is the bibtex Type of Modellbasierte Energiekostenanalyse automatisierter Systeme.?","SELECT ?type WHERE { <https://dblp.org/rec/phd/dnb/Beck15> <https://dblp.org/rdf/schema#bibtexType> ?type . }"
"26","Who is the author of Modellbasierte Energiekostenanalyse automatisierter Systeme.?","SELECT ?authorName WHERE { <https://dblp.org/rec/phd/dnb/Beck15> <https://dblp.org/rdf/schema#authoredBy> ?authorName . }"
"27","Does Modellbasierte Energiekostenanalyse automatisierter Systeme. have an ISBN number?","ASK WHERE { <https://dblp.org/rec/phd/dnb/Beck15> <https://dblp.org/rdf/schema#isbn> ?isbn . }"
"28","Is there any information on the primary Electronic Edition of Modellbasierte Energiekostenanalyse automatisierter Systeme.?","ASK { <https://dblp.org/rec/phd/dnb/Beck15> <https://dblp.org/rdf/schema#primaryElectronicEdition> ?o.}"
"29","In which year was Modellbasierte Energiekostenanalyse automatisierter Systeme. published?","SELECT ?year WHERE { <https://dblp.org/rec/phd/dnb/Beck15> <https://dblp.org/rdf/schema#yearOfPublication> ?year .}"
"30","What is the bibtex Type of Visual attention in primates and for machines - neuronal mechanisms.?","SELECT ?type WHERE { <https://dblp.org/rec/phd/dnb/Beuth20> <https://dblp.org/rdf/schema#bibtexType> ?type . }"
"31","Does Visual attention in primates and for machines - neuronal mechanisms. have an isbn?","ASK WHERE { <https://dblp.org/rec/phd/dnb/Beuth20> <https://dblp.org/rdf/schema#isbn> ?isbn . }"
"32","In what year was Visual attention in primates and for machines - neuronal mechanisms. published?","SELECT ?year WHERE { <https://dblp.org/rec/phd/dnb/Beuth20> <https://dblp.org/rdf/schema#yearOfPublication> ?year .}"
"33","What is the bibtex Type of 'Non-Volatile Processor Design for Self-Powered Embedded Systems.'?","SELECT ?type WHERE { <https://dblp.org/rec/phd/dnb/Biglari22> <https://dblp.org/rdf/schema#bibtexType> ?type }"
"34","What is the ISBN number of the publication 'Non-Volatile Processor Design for Self-Powered Embedded Systems.'?","SELECT ?isbn WHERE { <https://dblp.org/rec/phd/dnb/Biglari22> <https://dblp.org/rdf/schema#isbn> ?isbn . }"
"35","What is the total number of creators involved in 'Non-Volatile Processor Design for Self-Powered Embedded Systems.'?","SELECT (COUNT(?creator) AS ?total_creators) WHERE { <https://dblp.org/rec/phd/dnb/Biglari22> <https://dblp.org/rdf/schema#numberOfCreators> ?creator . }"
"36","In which school was the thesis of 'Non-Volatile Processor Design for Self-Powered Embedded Systems.' accepted?","SELECT ?school WHERE { <https://dblp.org/rec/phd/dnb/Biglari22> <https://dblp.org/rdf/schema#thesisAcceptedBySchool> ?school . }"
