"id","question","sparql"
"0","What event was the 1886 Wimbledon Championships a sub-event of?","SELECT ?event WHERE { <http://yago-knowledge.org/resource/1886_Wimbledon_Championships> <http://schema.org/subEvent> ?event .}"
"1","What is an alternate name for the 1886 Wimbledon Championships?","SELECT ?alternateName WHERE { <http://yago-knowledge.org/resource/1886_Wimbledon_Championships> <http://schema.org/alternateName> ?alternateName. }"
"2","When did the 1886 Wimbledon Championships start?","SELECT ?startDate WHERE { <http://yago-knowledge.org/resource/1886_Wimbledon_Championships> <http://schema.org/startDate> ?startDate . }"
"3","When did the 1886 Wimbledon Championships end?","SELECT ?endDate WHERE { <http://yago-knowledge.org/resource/1886_Wimbledon_Championships> <http://schema.org/endDate> ?endDate . }"
"4","List all subevents of the 1970 Formula One season","SELECT ?subevent WHERE { <http://yago-knowledge.org/resource/1970_Formula_One_season> <http://schema.org/subEvent> ?subevent . }"
"5","When did the 1970 Formula One season start?","SELECT ?startDate WHERE {<http://yago-knowledge.org/resource/1970_Formula_One_season> <http://schema.org/startDate> ?startDate .}"
"6","When did the 1970 Formula One season end?","SELECT ?endDate WHERE { <http://yago-knowledge.org/resource/1970_Formula_One_season> <http://schema.org/endDate> ?endDate . }"
"7","Was there an alternative name for the 1970 Formula One season?","ASK WHERE { <http://yago-knowledge.org/resource/1970_Formula_One_season>  <http://schema.org/alternateName>  ?altName . }"
"8","What is the sub event of 2009 Andalucia Tennis Experience?","SELECT ?subEvent WHERE { <http://yago-knowledge.org/resource/2009_Andalucia_Tennis_Experience> <http://schema.org/subEvent> ?subEvent }"
"9","What are the start and end dates of 2009 Andalucia Tennis Experience?","SELECT ?startDate ?endDate WHERE { <http://yago-knowledge.org/resource/2009_Andalucia_Tennis_Experience> <http://schema.org/startDate> ?startDate . <http://yago-knowledge.org/resource/2009_Andalucia_Tennis_Experience> <http://schema.org/endDate> ?endDate . }"
"10","Does 2009 Andalucia Tennis Experience have any alternate name?","ASK {<http://yago-knowledge.org/resource/2009_Andalucia_Tennis_Experience> <http://schema.org/alternateName> ?alternateName}"
"11","When did the 2009 Andalucia Tennis Experience end?","SELECT ?endDate WHERE { <http://yago-knowledge.org/resource/2009_Andalucia_Tennis_Experience> <http://schema.org/endDate> ?endDate . }"
"12","What is the sub event of 2010 Wimbledon Championships?","SELECT ?subEvent WHERE { <http://yago-knowledge.org/resource/2010_Wimbledon_Championships> <http://schema.org/subEvent> ?subEvent}"
"13","Can you provide an alternate name for 2010 Wimbledon Championships?","SELECT ?altName WHERE { <http://yago-knowledge.org/resource/2010_Wimbledon_Championships> <http://schema.org/alternateName> ?altName . }"
"14","When did 2010 Wimbledon Championships start?","SELECT ?date
WHERE {
  <http://yago-knowledge.org/resource/2010_Wimbledon_Championships> <http://schema.org/startDate> ?date .
}"
"15","When was the end date of 2010 Wimbledon Championships?","SELECT ?endDate WHERE { <http://yago-knowledge.org/resource/2010_Wimbledon_Championships> <http://schema.org/endDate> ?endDate .}"
"16","What is the sub Event related to 2011 Andalucia Tennis Experience?","SELECT ?subEvent WHERE { <http://yago-knowledge.org/resource/2011_Andalucia_Tennis_Experience> <http://schema.org/subEvent> ?subEvent . }"
"17","When did the 2011 Andalucia Tennis Experience start?","SELECT ?date WHERE { <http://yago-knowledge.org/resource/2011_Andalucia_Tennis_Experience> <http://schema.org/startDate> ?date }"
"18","Is there an alternate Name for the 2011 Andalucia Tennis Experience?","ASK WHERE { <http://yago-knowledge.org/resource/2011_Andalucia_Tennis_Experience> <http://schema.org/alternateName> ?alternateName . }"
"19","When was the end Date of the 2011 Andalucia Tennis Experience?","SELECT ?endDate
WHERE { 
<http://yago-knowledge.org/resource/2011_Andalucia_Tennis_Experience> <http://schema.org/endDate> ?endDate .
}"
"20","Has 2011 Andalucia Tennis Experience any sub Event info?","SELECT ?subEvent WHERE { <http://yago-knowledge.org/resource/2011_Andalucia_Tennis_Experience> <http://schema.org/subEvent> ?subEvent . }"
"21","When did the 2011 World Men's Handball Championship start?","SELECT ?startDate WHERE { <http://yago-knowledge.org/resource/2011_World_Men's_Handball_Championship> <http://schema.org/startDate> ?startDate . }"
"22","Where was the 2011 World Men's Handball Championship held?","SELECT ?location WHERE { <http://yago-knowledge.org/resource/2011_World_Men's_Handball_Championship> <http://schema.org/location> ?location }"
"23","When did the 2011 World Men's Handball Championship end?","SELECT ?endDate WHERE { <http://yago-knowledge.org/resource/2011_World_Men's_Handball_Championship> <http://schema.org/endDate> ?endDate . }"
"24","What is the alternate name of 2018 Grand Prix de Denain?","SELECT ?alternateName WHERE { <http://yago-knowledge.org/resource/2018_Grand_Prix_de_Denain> <http://schema.org/alternateName> ?alternateName }"
"25","What type of sport is associated with 2018 Grand Prix de Denain?","SELECT ?sportType WHERE { <http://yago-knowledge.org/resource/2018_Grand_Prix_de_Denain> <http://schema.org/sport> ?sportType }"
"26","Is 2018 Grand Prix de Denain part of any super event?","ASK WHERE { <http://yago-knowledge.org/resource/2018_Grand_Prix_de_Denain> <http://schema.org/superEvent> ?superEvent }"
"27","Who are the competitors in the 2018 Grand Prix de Denain event?","SELECT ?competitor WHERE { <http://yago-knowledge.org/resource/2018_Grand_Prix_de_Denain> <http://schema.org/competitor> ?competitor . }"
"28","What is the alternate name of 2018 Paris-Nice?","SELECT ?alternateName WHERE { <http://yago-knowledge.org/resource/2018_Paris–Nice> <http://schema.org/alternateName> ?alternateName .}"
"29","How many competitors did 2018 Paris-Nice have?","SELECT (COUNT(?competitor) as ?competitor_count) WHERE { <http://yago-knowledge.org/resource/2018_Paris–Nice> <http://schema.org/competitor> ?competitor }"
"30","Was 2018 Paris-Nice an event related to a sport?","ASK WHERE { <http://yago-knowledge.org/resource/2018_Paris–Nice> <http://schema.org/sport> ?o . }"
"31","What was the start date of 2018 Paris-Nice?","SELECT ?startDate 
WHERE { 
<http://yago-knowledge.org/resource/2018_Paris–Nice> <http://schema.org/startDate> ?startDate . 
}"
"32","What was the end date of 2018 Paris-Nice?","SELECT ?endDate WHERE { <http://yago-knowledge.org/resource/2018_Paris–Nice> <http://schema.org/endDate> ?endDate . }"
"33","What is the birth place of Abraham Albert Heaps?","SELECT ?birthPlace WHERE { <http://yago-knowledge.org/resource/A._A._Heaps> <http://schema.org/birthPlace> ?birthPlace . }"
"34","What is the nationality of Abraham Albert Heaps?","SELECT ?nationality WHERE { <http://yago-knowledge.org/resource/A._A._Heaps> <http://schema.org/nationality> ?nationality . }"
"35","When did Abraham Albert Heaps die?","SELECT ?date WHERE { <http://yago-knowledge.org/resource/A._A._Heaps> <http://schema.org/deathDate> ?date . }"
"36","What are the known languages of Abraham Albert Heaps?","SELECT ?language WHERE { <http://yago-knowledge.org/resource/A._A._Heaps> <http://schema.org/knowsLanguage> ?language .}"
"37","What is the occupation of Abraham Albert Heaps?","SELECT ?occupation WHERE { <http://yago-knowledge.org/resource/A._A._Heaps> <http://schema.org/hasOccupation> ?occupation }"
"38","What is the nationality of Allison C. Bonnell?","SELECT ?nationality WHERE { <http://yago-knowledge.org/resource/A._C._Bonnell> <http://schema.org/nationality> ?nationality . }"
"39","When was Allison C. Bonnell born?","SELECT ?birthDate WHERE { <http://yago-knowledge.org/resource/A._C._Bonnell> <http://schema.org/birthDate> ?birthDate . }"
"40","Did Allison C. Bonnell have any Occupation?","ASK WHERE { <http://yago-knowledge.org/resource/A._C._Bonnell> <http://schema.org/hasOccupation> ?o . }"
"41","What was the death Date of Allison C. Bonnell?","SELECT ?deathDate
WHERE { <http://yago-knowledge.org/resource/A._C._Bonnell>  <http://schema.org/deathDate>  ?deathDate . }"
"42","What is the birth place of Arthur Stuart-Menteth Hutchinson?","SELECT ?birthPlace WHERE { <http://yago-knowledge.org/resource/A._S._M._Hutchinson> <http://schema.org/birthPlace> ?birthPlace . }"
"43","What is an alternate name for Arthur Stuart-Menteth Hutchinson?","SELECT ?alternateName WHERE { <http://yago-knowledge.org/resource/A._S._M._Hutchinson> <http://schema.org/alternateName> ?alternateName}"
"44","When did Arthur Stuart-Menteth Hutchinson die?","SELECT ?dateOfDeath WHERE { <http://yago-knowledge.org/resource/A._S._M._Hutchinson> <http://schema.org/deathDate> ?dateOfDeath . }"
"45","What is the given name of Arthur Stuart-Menteth Hutchinson?","SELECT ?givenName WHERE { <http://yago-knowledge.org/resource/A._S._M._Hutchinson> <http://schema.org/givenName> ?givenName . }"
"46","Where was Arthur Stuart-Menteth Hutchinson's birth place?","SELECT ?birthPlace WHERE { <http://yago-knowledge.org/resource/A._S._M._Hutchinson> <http://schema.org/birthPlace> ?birthPlace . }"
"47","What is the alternate name of Abda?","SELECT ?alternateName WHERE { <http://yago-knowledge.org/resource/Abda,_Hungary> <http://schema.org/alternateName> ?alternateName . }"
"48","Where is Abda located?","SELECT ?location WHERE { <http://yago-knowledge.org/resource/Abda,_Hungary> <http://schema.org/location> ?location }"
"49","Is Abda a geographical location?","ASK { <http://yago-knowledge.org/resource/Abda,_Hungary> <http://schema.org/geo> ?o }"
"50","Is Abda contained within a place?","ASK WHERE { <http://yago-knowledge.org/resource/Abda,_Hungary> <http://schema.org/containedInPlace> ?place }"
"51","How many information are available about Abda's location?","SELECT (COUNT(?info) as ?count) WHERE {<http://yago-knowledge.org/resource/Abda,_Hungary> <http://schema.org/location> ?info .}"
"52","What is the date when 'A Princess of Mars' was created?","SELECT ?dateCreated WHERE { <http://yago-knowledge.org/resource/A_Princess_of_Mars> <http://schema.org/dateCreated> ?dateCreated . }"
"53","Who is the author of 'A Princess of Mars'?","SELECT ?author WHERE{ <http://yago-knowledge.org/resource/A_Princess_of_Mars> <http://schema.org/author> ?author . }"
"54","What is an alternate name for 'A Princess of Mars'?","SELECT ?alternateName WHERE { <http://yago-knowledge.org/resource/A_Princess_of_Mars> <http://schema.org/alternateName> ?alternateName .}"
"55","In what language was 'A Princess of Mars' written?","SELECT ?language WHERE { <http://yago-knowledge.org/resource/A_Princess_of_Mars> <http://schema.org/inLanguage> ?language . }"
"56","When was 'A Princess of Mars' published?","SELECT ?datePublished WHERE { <http://yago-knowledge.org/resource/A_Princess_of_Mars> <http://schema.org/datePublished> ?datePublished . }"
"57","What is the alternate name of Abeno Cues Town?","SELECT ?alternateName WHERE { <http://yago-knowledge.org/resource/Abeno_Cues_Town> <http://schema.org/alternateName> ?alternateName . }"
"58","When was Abeno Cues Town founded?","SELECT ?date WHERE { <http://yago-knowledge.org/resource/Abeno_Cues_Town> <http://schema.org/foundingDate> ?date . }"
"59","Is Abeno Cues Town a geo?","ASK { <http://yago-knowledge.org/resource/Abeno_Cues_Town> <http://schema.org/geo> ?o . }"
"60","Where is Abeno Cues Town located?","SELECT ?location WHERE { <http://yago-knowledge.org/resource/Abeno_Cues_Town> <http://schema.org/location> ?location }"
"61","What is the place in which Abeno Cues Town is contained?","SELECT ?place WHERE { <http://yago-knowledge.org/resource/Abeno_Cues_Town> <http://schema.org/containedInPlace> ?place . }"
"62","What is the alternate name of 2018 Tour of Norway?","SELECT ?alternateName WHERE {<http://yago-knowledge.org/resource/2018_Tour_of_Norway> <http://schema.org/alternateName> ?alternateName}"
