"id","question","sparql"
"0","Who is the chief executive officer of Airbus?","SELECT ?ceo WHERE { <http://www.wikidata.org/entity/Q67> <http://www.wikidata.org/prop/direct/P169> ?ceo. }"
"1","How many people are employed by Airbus?","SELECT ?number_of_employees WHERE { <http://www.wikidata.org/entity/Q67> <http://www.wikidata.org/prop/direct/P1128> ?number_of_employees . }"
"2","What organization is the parent organization or unit of Airbus?","SELECT ?organization WHERE { wd:Q67 wdt:P749 ?organization . }"
"3","Does Airbus have an official website?","ASK { wd:Q67 wdt:P856 ?website }"
"4","In what year did Airbus begin its operations?","SELECT ?inceptionYear WHERE { <http://www.wikidata.org/entity/Q67> <http://www.wikidata.org/prop/direct/P571> ?inceptionYear. }"
"5","Who founded the African Blood Brotherhood?","SELECT ?founder WHERE { wd:Q49257 wdt:P112 ?founder. }"
"6","Was African Blood Brotherhood dissolved or demolished at a specific date?","ASK WHERE { <http://www.wikidata.org/entity/Q49257> <http://www.wikidata.org/prop/direct/P576> ?date }"
"7","How many identifiers are mentioned for the African Blood Brotherhood in the subgraph?","SELECT (COUNT(?identifier) AS ?count) WHERE { { <http://www.wikidata.org/entity/Q49257> <http://www.wikidata.org/prop/direct/P646> ?identifier. } UNION { <http://www.wikidata.org/entity/Q49257> <http://www.wikidata.org/prop/direct/P1417> ?identifier. } UNION { <http://www.wikidata.org/entity/Q49257> <http://www.wikidata.org/prop/direct/P3417> ?identifier. } UNION { <http://www.wikidata.org/entity/Q49257> <http://www.wikidata.org/prop/direct/P6723> ?identifier. } }"
"8","In what location was the African Blood Brotherhood formed?","SELECT ?location WHERE { wd:Q49257 wdt:P740 ?location . }"
"9","What sources describe the African Blood Brotherhood?","SELECT ?source WHERE { wd:Q49257 wdt:P1343 ?source . }"
"10","Does Doctors Without Borders have any participation remarked in its records?","ASK WHERE { wd:Q49330 wdt:P1344 ?participation }"
"11","Who is the chief executive officer of the humanitarian organization Doctors Without Borders known as?","SELECT ?ceo WHERE { wd:Q49330 wdt:P169 ?ceo . }"
"12","Was there an organization founded as a segment or unit within the framework of Doctors Without Borders?","ASK WHERE { wd:Q49330 wdt:P355 ?organization . }"
"13","What was the inception year for the entity known as Doctors Without Borders?","SELECT ?inception WHERE { wd:Q49330 wdt:P571 ?inception . }"
"14","What type of entity is Medica Mondiale classified as?","SELECT ?entityType WHERE { wd:Q152153 wdt:P31 ?entityType. }"
"15","Does Medica Mondiale have a documented inception year?","ASK WHERE { wd:Q152153 wdt:P571 ?inceptionYear }"
"16","What is the primary location of Medica Mondiale's headquarters?","SELECT ?location WHERE { wd:Q152153 wdt:P159 ?location . }"
"17","What genre is Godzilla classified as?","SELECT ?genre WHERE { wd:Q24075 wdt:P136 ?genre . }"
"18","Is Godzilla followed by another production?","ASK WHERE { wd:Q24075 wdt:P156 ?production. }"
"19","Who is the director of photography for Godzilla?","SELECT ?photographer WHERE { wd:Q24075 wdt:P344 ?photographer . }"
"20","In which language was Godzilla originally produced?","SELECT ?language WHERE { wd:Q24075 wdt:P364 ?language . }"
"21","What award has Godzilla received, if any?","SELECT ?award WHERE { wd:Q24075 wdt:P166 ?award . }"
"22","What is the publication date for Van Diemen's Land?","SELECT ?publication_date WHERE { <http://www.wikidata.org/entity/Q24154> <http://www.wikidata.org/prop/direct/P577> ?publication_date . }"
"23","Did Van Diemen's Land have a director?","ASK WHERE { <http://www.wikidata.org/entity/Q24154> <http://www.wikidata.org/prop/direct/P57> ?director . }"
"24","In what narrative location was Van Diemen's Land set?","SELECT ?location WHERE { wd:Q24154 wdt:P840 ?location . }"
"25","Who contributed to the cinematography of Van Diemen's Land?","SELECT ?person WHERE { wd:Q24154 wdt:P57 ?person . }"
"26","What genre does 'The Hidden Face' belong to?","SELECT ?genre WHERE { wd:Q24196 wdt:P136 ?genre . }"
"27","Who composed the music for 'The Hidden Face'?","SELECT ?composer WHERE { wd:Q24196 wdt:P86 ?composer. }"
"28","In which country was 'The Hidden Face' originally released?","SELECT ?country WHERE { wd:Q24196 wdt:P495 ?country. }"
"29","What format was used to distribute 'The Hidden Face'?","SELECT ?format WHERE { <http://www.wikidata.org/entity/Q24196> <http://www.wikidata.org/prop/direct/P437> ?format . }"
"30","What is the genre of 'Words for the Dying'?","SELECT ?genre WHERE { wd:Q127286 wdt:P136 ?genre . }"
"31","Who were responsible for producing 'Words for the Dying'?","SELECT ?producer WHERE { wd:Q127286 wdt:P162 ?producer . }"
"32","Does 'Words for the Dying' have associated record label information?","ASK WHERE { <http://www.wikidata.org/entity/Q127286> <http://www.wikidata.org/prop/direct/P264> ?label. }"
"33","When was 'Words for the Dying' originally published?","SELECT ?publication_date WHERE { wd:Q127286 wdt:P577 ?publication_date . }"
"34","Who were the performers on 'Words for the Dying'?","SELECT ?performer WHERE { <http://www.wikidata.org/entity/Q127286> <http://www.wikidata.org/prop/direct/P175> ?performer . }"
"35","What is the genre of Slow Dazzle?","SELECT ?genre WHERE { wd:Q127288 wdt:P136 ?genre . }"
"36","Who is the producer of Slow Dazzle?","SELECT ?producer WHERE { <http://www.wikidata.org/entity/Q127288> <http://www.wikidata.org/prop/direct/P162> ?producer . }"
"37","In what language is Slow Dazzle composed?","SELECT ?language WHERE { <http://www.wikidata.org/entity/Q127288> <http://www.wikidata.org/prop/direct/P407> ?language . }"
"38","What format was used to distribute Slow Dazzle?","SELECT ?format WHERE { <http://www.wikidata.org/entity/Q127288> <http://www.wikidata.org/prop/direct/P437> ?format . }"
"39","Can you give the publication date of Slow Dazzle?","SELECT ?publicationDate WHERE { wd:Q127288 wdt:P577 ?publicationDate . }"
"40","What languages is Helen of Troy available in?","SELECT DISTINCT ?language WHERE { <http://www.wikidata.org/entity/Q127290> <http://www.wikidata.org/prop/direct/P407> ?language . }"
"41","Who are the performers involved in Helen of Troy?","SELECT DISTINCT ?performers WHERE { wd:Q127290 wdt:P175 ?performers . }"
"42","How is Helen of Troy categorized as a creative work?","SELECT ?category WHERE { wd:Q127290 wdt:P7937 ?category . }"
"43","Was Helen of Troy part of another work?","ASK WHERE { wd:Q127290 wdt:P361 ?work. }"
"44","When was Helen of Troy released?","SELECT ?releaseDate WHERE { <http://www.wikidata.org/entity/Q127290> <http://www.wikidata.org/prop/direct/P577> ?releaseDate . }"
"45","What genre does New Sensations belong to?","SELECT ?genre WHERE { wd:Q127317 wdt:P136 ?genre . }"
"46","Does the entity New Sensations have an associated MusicBrainz release group ID?","ASK {
  wd:Q127317 wdt:P436 ?mbid .
}"
"47","How many distinct formats is New Sensations available in for distribution?","SELECT (COUNT(DISTINCT ?format) AS ?count) WHERE { wd:Q127317 wdt:P437 ?format . }"
"48","When was New Sensations published?","SELECT ?publicationDate WHERE { wd:Q127317 wdt:P577 ?publicationDate . }"
"49","Which record label is New Sensations released under?","SELECT ?recordLabel WHERE { <http://www.wikidata.org/entity/Q127317> <http://www.wikidata.org/prop/direct/P264> ?recordLabel . }"
"50","Which country is associated with the Old Mint?","SELECT ?country WHERE { <http://www.wikidata.org/entity/Q436023> <http://www.wikidata.org/prop/direct/P17> ?country . }"
"51","Is the Old Mint used as a form of any instances?","ASK WHERE { wd:Q436023 wdt:P31 ?instance . }"
"52","Where is the Old Mint administratively located?","SELECT ?location WHERE {<http://www.wikidata.org/entity/Q436023> <http://www.wikidata.org/prop/direct/P131> ?location.}"
"53","What makes the Old Mint distinct based on any heritage designation?","SELECT ?heritageDesignation WHERE { wd:Q436023 wdt:P1435 ?heritageDesignation . }"
