"id","question","sparql"
"0","What is the birth place of Antony Cheng?","SELECT ?birthPlace
WHERE {
  <http://dbpedia.org/resource/Antony_Cheng> <http://dbpedia.org/property/birthPlace> ?birthPlace
}"
"1","How many former coaches does Antony Cheng have?","SELECT (COUNT(?coach) AS ?count) WHERE { <http://dbpedia.org/resource/Antony_Cheng> <http://dbpedia.org/property/formercoach> ?coach . }"
"2","What is the gender of Antony Cheng?","SELECT ?gender WHERE { <http://dbpedia.org/resource/Antony_Cheng> <http://xmlns.com/foaf/0.1/gender> ?gender . }"
"3","What is the choreographer of Antony Cheng?","SELECT ?choreographer WHERE { <http://dbpedia.org/resource/Antony_Cheng> <http://dbpedia.org/ontology/choreographer> ?choreographer .}"
"4","What is the country of residence of Antony Cheng?","SELECT ?country WHERE { <http://dbpedia.org/resource/Antony_Cheng> <http://dbpedia.org/ontology/residence> ?country. }"
"5","What is the description of Bello Babatounde?","SELECT ?description WHERE { <http://dbpedia.org/resource/Bello_Babatounde> <http://purl.org/dc/terms/description> ?description }"
"6","Is the gender of Bello Babatounde known?","ASK {<http://dbpedia.org/resource/Bello_Babatounde> <http://xmlns.com/foaf/0.1/gender> ?gender}"
"7","When was Bello Babatounde born?","SELECT ?date WHERE { <http://dbpedia.org/resource/Bello_Babatounde> <http://dbpedia.org/ontology/birthDate> ?date . }"
"8","What is the surname of Bello Babatounde?","SELECT ?surname WHERE { <http://dbpedia.org/resource/Bello_Babatounde> <http://xmlns.com/foaf/0.1/surname> ?surname }"
"9","Where was Bello Babatounde born?","SELECT ?birthPlace WHERE { <http://dbpedia.org/resource/Bello_Babatounde> <http://dbpedia.org/ontology/birthPlace> ?birthPlace . }"
"10","What is Jeff Stinco's gender?","SELECT ?gender WHERE { <http://dbpedia.org/resource/Jeff_Stinco> <http://xmlns.com/foaf/0.1/gender> ?gender . }"
"11","When was Jeff Stinco born?","SELECT ?date WHERE { <http://dbpedia.org/resource/Jeff_Stinco> <http://dbpedia.org/ontology/birthDate> ?date . }"
"12","What is Jeff Stinco's surname?","SELECT ?surname WHERE { <http://dbpedia.org/resource/Jeff_Stinco> <http://xmlns.com/foaf/0.1/surname> ?surname }"
"13","Where was Jeff Stinco born?","SELECT ?birthPlace WHERE { <http://dbpedia.org/resource/Jeff_Stinco> <http://dbpedia.org/ontology/birthPlace> ?birthPlace }"
"14","What is Jeff Stinco's given Name?","SELECT ?givenName WHERE { <http://dbpedia.org/resource/Jeff_Stinco> <http://xmlns.com/foaf/0.1/givenName> ?givenName . }"
"15","What is the area associated with Michael Manning?","SELECT ?area WHERE { <http://dbpedia.org/resource/Michael_Manning_(fetish_artist)> <http://dbpedia.org/property/area> ?area }"
"16","When was Michael Manning born?","SELECT ?birthDate WHERE { <http://dbpedia.org/resource/Michael_Manning_(fetish_artist)> <http://dbpedia.org/property/birthDate> ?birthDate . }"
